date,name,category,value
2020-01-01,Mckesson,Federal Contracting,5527621116
2020-01-01,Health Net,Federal Contracting,3103903026
2020-01-01,California Institute,Federal Contracting,2566048830
2020-01-01,Lawrence Livermore,Federal Contracting,2380697387
2020-01-01,General Atomics,Federal Contracting,1858751826
2020-01-01,Lockheed Martin,Federal Contracting,1623751173
2020-01-01,Boeing,Federal Contracting,1589306384
2020-01-01,National Steel Shipbuilding,Federal Contracting,1314315560
2020-01-01,Northrop Grumman,Federal Contracting,1113368087
2020-01-01,UC Regents,Federal Contracting,1085604186
2020-01-01,Aerospace,Federal Contracting,1078856218
2020-01-01,Raytheon,Federal Contracting,898272572
2020-01-01,QTC Medical,Federal Contracting,891764190
2020-01-01,Environmental Chemical,Federal Contracting,746981729
2020-01-01,A-mark Precious Metals,Federal Contracting,555920700
2020-01-01,Northrop Grumman,Federal Contracting,532687143
2020-01-01,Viasat,Federal Contracting,501824780
2020-01-01,Stanford,Federal Contracting,475665057
2020-01-01,Lockheed Martin,Federal Contracting,458315583
2020-01-01,Bae San Diego Ship Repair,Federal Contracting,438156813
2020-01-01,General Atomics,Federal Contracting,432494746
2020-01-01,Boeing,Federal Contracting,430161941
2020-01-01,SpaceX,Federal Contracting,418657160
2020-01-01,Aerojet Rocketdyne De,Federal Contracting,399792999
2020-01-01,Lockheed Martin,Federal Contracting,383252370
2020-01-01,Cisco,Federal Contracting,373092878
2020-01-01,Northrop Grumman,Federal Contracting,362901523
2020-01-01,Alliant Techsystems Operations,Federal Contracting,331979820
2020-01-01,Northrop Grumman,Federal Contracting,327748681
2020-01-01,Carrington Mortgage,Federal Contracting,303826089
2020-01-01,Booz Allen,Federal Contracting,282981354
2020-01-01,Mckesson,Federal Contracting,259400468
2020-01-01,Ser,Federal Contracting,255627559
2020-01-01,Goodman Food Products,Federal Contracting,234584534
2020-01-01,Patriot Contract,Federal Contracting,221266219
2020-01-01,Raytheon,Federal Contracting,194256685
2020-01-01,New Tech,Federal Contracting,183988114
2020-01-01,Northrop Grumman,Federal Contracting,182725383
2020-01-01,Harper Construction,Federal Contracting,175590122
2020-01-01,Sri,Federal Contracting,171513666
2020-01-01,Hensel Phelps Construction,Federal Contracting,166584038
2020-01-01,Fleet Vehicle Source,Federal Contracting,156283162
2020-01-01,Science Applications,Federal Contracting,155090798
2020-01-01,Stutz Packing,Federal Contracting,153093401
2020-01-01,Linquest,Federal Contracting,152472925
2020-01-01,Life,Federal Contracting,149231984
2020-01-01,Rq Construction,Federal Contracting,148002581
2020-01-01,Northrop Grumman,Federal Contracting,146118776
2020-01-01,The Geo,Federal Contracting,141476482
2020-01-01,Reyes Construction,Federal Contracting,130747416
2020-01-01,Valiant Global Defense,Federal Contracting,127393216
2020-01-01,Gold Star Foods,Federal Contracting,125288629
2020-01-01,Walsh,Federal Contracting,124300533
2020-01-01,Kratos Unmanned Aerial,Federal Contracting,123995585
2020-01-01,Bae Land & Armaments L.p,Federal Contracting,118611299
2020-01-01,Bio-medical Devices,Federal Contracting,117697777
2020-01-01,Parker-hannifin,Federal Contracting,115557755
2020-01-01,Covenant Aviation,Federal Contracting,115358509
2020-01-01,Blue Tech,Federal Contracting,114903031
2020-01-01,Jacobs/ewingcole A Joint Venture,Federal Contracting,111870554
2020-01-01,Parsons Government,Federal Contracting,111006424
2020-01-01,Raytheon,Federal Contracting,109717088
2020-01-01,Palantir,Federal Contracting,109598433
2020-01-01,Perimeter Lp,Federal Contracting,106109356
2020-01-01,L3harris Interstate Electronics,Federal Contracting,105989339
2020-01-01,Raytheon,Federal Contracting,105736390
2020-01-01,Northrop Grumman,Federal Contracting,105551474
2020-01-01,Peraton,Federal Contracting,104888210
2020-01-01,Physical Optics,Federal Contracting,101046012
2020-01-01,Tecolote Research,Federal Contracting,99673883
2020-01-01,Solpac Construction,Federal Contracting,99238670
2020-01-01,Cepheid,Federal Contracting,98755017
2020-01-01,M. A. Mortenson,Federal Contracting,92376511
2020-01-01,Cjw Joint Venture,Federal Contracting,90900605
2020-01-01,Quidel,Federal Contracting,90645598
2020-01-01,Marvin Engineering,Federal Contracting,90427857
2020-01-01,Us Foods,Federal Contracting,90408246
2020-01-01,Coastal Pacific Food Distributors,Federal Contracting,89181899
2020-01-01,Raytheon,Federal Contracting,88242125
2020-01-01,Maxar Space,Federal Contracting,88240714
2020-01-01,Whiting-turner Contracting Company,Federal Contracting,88161274
2020-01-01,Deloitte,Federal Contracting,86367290
2020-01-01,Management & Training,Federal Contracting,84778809
2020-01-01,Wescam,Federal Contracting,81638450
2020-01-01,Acumen,Federal Contracting,81592307
2020-01-01,Manson Construction,Federal Contracting,81520520
2020-01-01,Smiths Detection,Federal Contracting,80003003
2020-01-01,Huntington Ingalls,Federal Contracting,79900038
2020-01-01,Northrop Grumman,Federal Contracting,79780668
2020-01-01,Mare Island Dry Dock,Federal Contracting,79350911
2020-01-01,L.a. Specialty Produce,Federal Contracting,78989285
2020-01-01,Paragon,Federal Contracting,78632398
2020-01-01,Northrop Grumman,Federal Contracting,78143940
2020-01-01,Aerovironment,Federal Contracting,76890927
2020-01-01,Timken Gears &,Federal Contracting,76310778
2020-01-01,Mcp Computer Products,Federal Contracting,75029887
2020-01-01,Rich Chicks,Federal Contracting,74595815
2020-01-01,Rockwell Collins Simulation & Training,Federal Contracting,74187867
2020-01-01,Global Connections To Employment,Federal Contracting,73804100
2020-01-01,Moldex-metric,Federal Contracting,71827224
2020-01-01,R.a. Burch Construction,Federal Contracting,71394790
2020-01-01,Raytheon,Federal Contracting,71050671
2020-01-01,Northrop Grumman,Federal Contracting,68564446
2020-01-01,Manson/connolly Seal Beach Jv,Federal Contracting,66530000
2020-01-01,San Diego Gas & Electric,Federal Contracting,66189428
2020-01-01,Environmental Research Institute,Federal Contracting,66077353
2020-01-01,Maloney-odin Jv,Federal Contracting,65483159
2020-01-01,Rq-dpr Jv,Federal Contracting,63622539
2020-01-01,The Rand,Federal Contracting,63620845
2020-01-01,Koam Engineering,Federal Contracting,62176121
2020-01-01,Aircraft Readiness,Federal Contracting,61284446
2020-01-01,Sls,Federal Contracting,60866690
2020-01-01,Inuteq,Federal Contracting,60673499
2020-01-01,University Southern California,Federal Contracting,60596001
2020-01-01,Omnicell,Federal Contracting,60548545
2020-01-01,Corecivic,Federal Contracting,60238633
2020-01-01,Pacific Coast Producers,Federal Contracting,60013360
2020-01-01,Teichert-odin A Joint Venture,Federal Contracting,59354532
2020-01-01,UC Regents,Federal Contracting,56623842
2020-01-01,Bae Information Electronic Systems Integration,Federal Contracting,55709404
2020-01-01,Dyncorp,Federal Contracting,55705520
2020-01-01,Clinicomp,Federal Contracting,54548795
2020-01-01,Dynamic,Federal Contracting,53963343
2020-01-01,Bay Ship & Yacht,Federal Contracting,53611125
2020-01-01,Del Monte Foods,Federal Contracting,53000819
