date,name,category,value
2020-01-01,Lockheed Martin,Federal Contracting,2976328249
2020-01-01,Federal Resources Supply,Federal Contracting,1468567585
2020-01-01,Johns Hopkins,Federal Contracting,1320394644
2020-01-01,Leidos,Federal Contracting,1156175137
2020-01-01,Optum,Federal Contracting,999380131
2020-01-01,Leidos,Federal Contracting,848401912
2020-01-01,Booz Allen,Federal Contracting,848379519
2020-01-01,Emergent Manufacturing Operations Baltimore,Federal Contracting,658283250
2020-01-01,GDIT,Federal Contracting,613615705
2020-01-01,Bae &,Federal Contracting,604720968
2020-01-01,T-rex,Federal Contracting,523556219
2020-01-01,Textron,Federal Contracting,516280752
2020-01-01,International Business Machines,Federal Contracting,504075247
2020-01-01,Northrop Grumman,Federal Contracting,491630720
2020-01-01,Hensel Phelps Construction,Federal Contracting,468234735
2020-01-01,Johns Hopkins,Federal Contracting,453322865
2020-01-01,Emergent Product Development Gaithersburg,Federal Contracting,437032983
2020-01-01,Amentum,Federal Contracting,434080439
2020-01-01,Northrop Grumman,Federal Contracting,417246445
2020-01-01,Deloitte,Federal Contracting,414442182
2020-01-01,Young & Rubicam,Federal Contracting,355961978
2020-01-01,Fcn,Federal Contracting,339924983
2020-01-01,Northrop Grumman,Federal Contracting,288275331
2020-01-01,Northrop Grumman,Federal Contracting,286804509
2020-01-01,Westat,Federal Contracting,267315305
2020-01-01,Clark Construction,Federal Contracting,244805786
2020-01-01,Maximus,Federal Contracting,239890614
2020-01-01,Csra,Federal Contracting,227611519
2020-01-01,Kelly,Federal Contracting,226619155
2020-01-01,Accenture Federal,Federal Contracting,225696809
2020-01-01,Science Applications,Federal Contracting,225135194
2020-01-01,Thales Defense &,Federal Contracting,220896275
2020-01-01,Association Universities For Research In Astronomy,Federal Contracting,207286749
2020-01-01,Science Applications,Federal Contracting,202255624
2020-01-01,Dyncorp,Federal Contracting,200479811
2020-01-01,Cdw Government,Federal Contracting,190366152
2020-01-01,Tista Science,Federal Contracting,181478907
2020-01-01,Kbr Wyle,Federal Contracting,171321313
2020-01-01,Verizon Business Network,Federal Contracting,168558802
2020-01-01,Medical Science & Computing,Federal Contracting,167825543
2020-01-01,CACI,Federal Contracting,162454053
2020-01-01,GDIT,Federal Contracting,142470797
2020-01-01,Leidos,Federal Contracting,137607488
2020-01-01,Northrop Grumman,Federal Contracting,131544547
2020-01-01,Technical Resources,Federal Contracting,131017280
2020-01-01,Kbr Wyle,Federal Contracting,129636955
2020-01-01,Cgi,Federal Contracting,129340634
2020-01-01,Becton Dickinson,Federal Contracting,126415889
2020-01-01,The Boston Consulting,Federal Contracting,123742813
2020-01-01,Leidos,Federal Contracting,123320464
2020-01-01,Carahsoft,Federal Contracting,122119090
2020-01-01,MITRE,Federal Contracting,119457338
2020-01-01,Jacobs,Federal Contracting,118895879
2020-01-01,Tribal,Federal Contracting,110762379
2020-01-01,Ventech,Federal Contracting,108749411
2020-01-01,Peraton,Federal Contracting,107036495
2020-01-01,Reli,Federal Contracting,103675014
2020-01-01,Smartronix,Federal Contracting,102498332
2020-01-01,Grunley Construction,Federal Contracting,101194396
2020-01-01,Ntt Data Fedhealth,Federal Contracting,94472089
2020-01-01,Odp Business,Federal Contracting,93789831
2020-01-01,GDIT,Federal Contracting,92807925
2020-01-01,Asrc,Federal Contracting,92683544
2020-01-01,GDIT,Federal Contracting,89217947
2020-01-01,Unisys,Federal Contracting,88222375
2020-01-01,Microsoft,Federal Contracting,88167191
2020-01-01,Newwave Telecom,Federal Contracting,84563440
2020-01-01,Retractable,Federal Contracting,83788440
2020-01-01,Arctic Slope Technical,Federal Contracting,83589490
2020-01-01,Leidos,Federal Contracting,83559795
2020-01-01,Leidos,Federal Contracting,83122473
2020-01-01,Dai Global,Federal Contracting,82740140
2020-01-01,Pae Applied,Federal Contracting,82264153
2020-01-01,Trax,Federal Contracting,81938743
2020-01-01,University Texas At Austin,Federal Contracting,81932456
2020-01-01,Viasat,Federal Contracting,81034507
2020-01-01,The Emmes,Federal Contracting,78817126
2020-01-01,Lockheed Martin,Federal Contracting,77763113
2020-01-01,J.f. Taylor,Federal Contracting,77328882
2020-01-01,Precise,Federal Contracting,75000608
2020-01-01,CACI,Federal Contracting,73419919
2020-01-01,Raytheon,Federal Contracting,72534394
2020-01-01,Icf,Federal Contracting,71785738
2020-01-01,American Electronic Warfare Associates,Federal Contracting,71739365
2020-01-01,CACI,Federal Contracting,71283078
2020-01-01,Research Triangle Institute,Federal Contracting,70818053
2020-01-01,Indrasoft,Federal Contracting,68891723
2020-01-01,Peraton,Federal Contracting,68555281
2020-01-01,Digiflight,Federal Contracting,68457298
2020-01-01,Qlarant Integrity,Federal Contracting,66970273
2020-01-01,Four,Federal Contracting,66820232
2020-01-01,Mathematica,Federal Contracting,66440337
2020-01-01,Dlt,Federal Contracting,65607580
2020-01-01,Cognosante,Federal Contracting,62958820
2020-01-01,Executive Information,Federal Contracting,62620608
2020-01-01,Whiting-turner Contracting Company,Federal Contracting,62573164
2020-01-01,Leidos,Federal Contracting,62299230
2020-01-01,Oracle America,Federal Contracting,61500198
2020-01-01,Motorola,Federal Contracting,61340417
2020-01-01,Infozen,Federal Contracting,60546264
2020-01-01,Mckesson,Federal Contracting,60531953
2020-01-01,Immixtechnology,Federal Contracting,58701412
2020-01-01,Digital Management,Federal Contracting,57611263
2020-01-01,The Mil,Federal Contracting,56821425
2020-01-01,Adnet,Federal Contracting,56280508
2020-01-01,At&t Mobility Accounts,Federal Contracting,55940956
2020-01-01,Guidehouse Llp,Federal Contracting,55848118
2020-01-01,Information Management,Federal Contracting,55581114
2020-01-01,Systems Plus,Federal Contracting,54928919
2020-01-01,Guidehouse Digital,Federal Contracting,54125220
2020-01-01,Business Integra,Federal Contracting,53787958
2020-01-01,Dell L.p,Federal Contracting,52942214
2020-01-01,Sparksoft,Federal Contracting,52925809
2020-01-01,Alcyon Technical (ats) Jv,Federal Contracting,52757819
2020-01-01,Imagine One & Management,Federal Contracting,52558634
2020-01-01,ManTech,Federal Contracting,51842125
2020-01-01,At&t,Federal Contracting,51619768
2020-01-01,Honeywell,Federal Contracting,51231498
2020-01-01,Mag Ds,Federal Contracting,50661619
2020-01-01,Bell Boeing Joint Project Office,Federal Contracting,50619036
2020-01-01,Northrop Grumman,Federal Contracting,50438616
2020-01-01,Sirius,Federal Contracting,50256135
2020-01-01,Data Computer Corporation,Federal Contracting,50131094
2020-01-01,Avaya,Federal Contracting,48755323
2020-01-01,Johns Hopkins,Federal Contracting,48474281
2020-01-01,Chags Health Information,Federal Contracting,48305837
2020-01-01,Nih Bayview Acquisition,Federal Contracting,48244873
2020-01-01,Dovel,Federal Contracting,47891171
2020-01-01,Hii Mission,Federal Contracting,47619189
2020-01-01,Potomac Electric Power,Federal Contracting,47178053
2020-01-01,Deloitte,Federal Contracting,47173831
2020-01-01,Leidos,Federal Contracting,47100373
2020-01-01,Dynport Vaccine,Federal Contracting,46591868
2020-01-01,Resource Management Concepts,Federal Contracting,46538238
2020-01-01,Arinc,Federal Contracting,46291024
2020-01-01,By Light Professional It,Federal Contracting,46042775
2020-01-01,Iap World,Federal Contracting,46010066
2020-01-01,Dlh,Federal Contracting,45752177
2020-01-01,Abt Global,Federal Contracting,45430066
2020-01-01,Ad Hoc,Federal Contracting,44604637
2020-01-01,Becton Dickinson &,Federal Contracting,44468800
2020-01-01,Palantir Usg,Federal Contracting,44154209
2020-01-01,Orbital Sciences,Federal Contracting,44100192
2020-01-01,I. M,Federal Contracting,43748800
2020-01-01,Octo Consulting,Federal Contracting,43642905
2020-01-01,Sabre,Federal Contracting,43442555
2020-01-01,Bowhead Mission,Federal Contracting,43401901
2020-01-01,Bluehalo Labs,Federal Contracting,43264268
2020-01-01,Cellphire,Federal Contracting,43211767
2020-01-01,Engility,Federal Contracting,42495785
2020-01-01,Dell Marketing L.p,Federal Contracting,42212955
2020-01-01,Charles River Laboratories,Federal Contracting,41674237
2020-01-01,The Lewin,Federal Contracting,41475582
2020-01-01,Harmonia,Federal Contracting,41286937
2020-01-01,Tunnell Consulting,Federal Contracting,41094616
2020-01-01,Axle Informatics,Federal Contracting,40981210
2020-01-01,Lb & B Associates,Federal Contracting,40917508
2020-01-01,Vane Line Bunkering,Federal Contracting,40851176
2020-01-01,Advanced Alliant Team Limited Partnership,Federal Contracting,40596450
2020-01-01,Healthapt,Federal Contracting,40441135
2020-01-01,Ace Electronics Defense,Federal Contracting,40403555
2020-01-01,Keenan Ft Detrick Energy,Federal Contracting,40355189
2020-01-01,Spalding Consulting,Federal Contracting,40149223
2020-01-01,L-3 Chesapeake Sciences,Federal Contracting,40014220
2020-01-01,Melwood Horticultural Training Center,Federal Contracting,40010580
2020-01-01,Emergent,Federal Contracting,39872929
2020-01-01,Dhpc,Federal Contracting,39780057
2020-01-01,Highrise Consulting,Federal Contracting,39775954
2020-01-01,Csp,Federal Contracting,39081595
2020-01-01,As D,Federal Contracting,38201285
2020-01-01,University Maryland Baltimore,Federal Contracting,37819832
2020-01-01,Paradyme,Federal Contracting,37596757
2020-01-01,Att Mobility,Federal Contracting,37323421
2020-01-01,Presidio Government,Federal Contracting,37208327
2020-01-01,Optumserve,Federal Contracting,37147243
2020-01-01,Impaq,Federal Contracting,36703386
2020-01-01,Customer Value Partners,Federal Contracting,36648625
2020-01-01,Norseman,Federal Contracting,36599813
2020-01-01,CACI,Federal Contracting,36585463
2020-01-01,Raytheon,Federal Contracting,36575352
2020-01-01,Edaptive,Federal Contracting,36466541
2020-01-01,Valneva,Federal Contracting,36029318
2020-01-01,Mountain Horse,Federal Contracting,35476377
2020-01-01,J & J Maintenance,Federal Contracting,35073310
2020-01-01,Nava Pbc,Federal Contracting,35045331
2020-01-01,Tcom L.p,Federal Contracting,34879721
2020-01-01,Four Points,Federal Contracting,34741495
2020-01-01,Earth Resources,Federal Contracting,34264872
2020-01-01,Crosby Marketing Communications,Federal Contracting,33714204
2020-01-01,Trident Vantage,Federal Contracting,33604740
2020-01-01,Aerospace,Federal Contracting,33517626
2020-01-01,Colossal Contracting,Federal Contracting,33459596
2020-01-01,Information & Networks,Federal Contracting,33351631
2020-01-01,Tuckman-barbee Construction,Federal Contracting,33188287
2020-01-01,Iap Worldwide,Federal Contracting,32999666
2020-01-01,Lockheed Martin,Federal Contracting,32998822
2020-01-01,Smiths Detection,Federal Contracting,32698100
2020-01-01,Mathematica,Federal Contracting,32631907
2020-01-01,Sigma Defense,Federal Contracting,32138194
2020-01-01,August Schell,Federal Contracting,31995954
2020-01-01,Turner Construction,Federal Contracting,31622044
2020-01-01,Akima Support Operations,Federal Contracting,31544912
2020-01-01,Data Analysts,Federal Contracting,31444545
2020-01-01,The Keyw,Federal Contracting,31316825
2020-01-01,Iq,Federal Contracting,31211624
2020-01-01,Asrc Data Network,Federal Contracting,31065104
2020-01-01,International Business Machines,Federal Contracting,30844737
2020-01-01,Softrams,Federal Contracting,30810727
2020-01-01,Hendall,Federal Contracting,30804256
2020-01-01,Blind Maryland,Federal Contracting,30802607
2020-01-01,Turning Point Global,Federal Contracting,30789311
2020-01-01,Phoenix,Federal Contracting,30760171
2020-01-01,Tekla Research,Federal Contracting,30727526
2020-01-01,Sudano's Produce,Federal Contracting,30428049
2020-01-01,Naval,Federal Contracting,30328174
2020-01-01,Ecs,Federal Contracting,30294570
2020-01-01,Avian,Federal Contracting,30119074
2020-01-01,New Tech,Federal Contracting,30044434
2020-01-01,Novavax,Federal Contracting,29952384
2020-01-01,Ba-zai Jv,Federal Contracting,29930312
2020-01-01,Lcg,Federal Contracting,29921643
2020-01-01,Array Information,Federal Contracting,29562433
2020-01-01,The Survice Engineering,Federal Contracting,29558815
2020-01-01,Thundercat,Federal Contracting,29464959
2020-01-01,Govcio,Federal Contracting,29437759
2020-01-01,Bellese,Federal Contracting,29325609
2020-01-01,Thirdpacket,Federal Contracting,29320602
2020-01-01,Laulima Government,Federal Contracting,29269794
2020-01-01,Capital Currency Team,Federal Contracting,29207912
2020-01-01,Dayton T. Brown,Federal Contracting,29127003
2020-01-01,Axient,Federal Contracting,29119411
2020-01-01,General Dynamics Mission,Federal Contracting,29031452
2020-01-01,Triple Canopy,Federal Contracting,28910703
2020-01-01,Ec America,Federal Contracting,28825139
2020-01-01,Mvm,Federal Contracting,28737752
2020-01-01,Fearless,Federal Contracting,28503406
2020-01-01,Techniko,Federal Contracting,28165885
2020-01-01,Opr,Federal Contracting,28136377
2020-01-01,Great Lakes Dredge & Dock,Federal Contracting,28099600
2020-01-01,Palladian Partners,Federal Contracting,28081426
2020-01-01,Business Mission Edge,Federal Contracting,28000000
2020-01-01,Danya,Federal Contracting,27849116
2020-01-01,Enlighten It Consulting,Federal Contracting,27845092
2020-01-01,Georgia Tech Applied Research,Federal Contracting,27603775
2020-01-01,Environmental Research Institute,Federal Contracting,27591004
2020-01-01,Janus Research,Federal Contracting,27496486
2020-01-01,Iron Vine,Federal Contracting,27459834
2020-01-01,Vysnova Partners,Federal Contracting,27412096
2020-01-01,Tote,Federal Contracting,27326180
2020-01-01,Safeguard,Federal Contracting,27203404
2020-01-01,Cda,Federal Contracting,27120303
2020-01-01,Incentive,Federal Contracting,27031777
2020-01-01,Accenture Federal,Federal Contracting,26801867
2020-01-01,Phacil,Federal Contracting,26633930
2020-01-01,Spatial Front,Federal Contracting,26255688
2020-01-01,Kbr Wyle,Federal Contracting,26212448
2020-01-01,Aviation Engineering,Federal Contracting,26096170
2020-01-01,Blue Tech,Federal Contracting,26063464
2020-01-01,Foxhole,Federal Contracting,25944353
2020-01-01,Fisher Bioservices,Federal Contracting,25919751
2020-01-01,University Maryland College Park,Federal Contracting,25832010
2020-01-01,Longhorn Vaccines Diagnostics,Federal Contracting,25792500
2020-01-01,Angel Staffing,Federal Contracting,25753108
2020-01-01,Asrc Field,Federal Contracting,25587317
2020-01-01,Vae,Federal Contracting,25536036
2020-01-01,Liqid,Federal Contracting,25480000
2020-01-01,Sos,Federal Contracting,25317993
2020-01-01,Collabralink,Federal Contracting,25254596
2020-01-01,Jbs,Federal Contracting,25167518
2020-01-01,Crl,Federal Contracting,25100265
2020-01-01,Raytheon,Federal Contracting,24897818
2020-01-01,Ptsi Managed,Federal Contracting,24661202
2020-01-01,Compass,Federal Contracting,24651726
2020-01-01,Next Phase,Federal Contracting,24547182
2020-01-01,Peraton,Federal Contracting,24281913
2020-01-01,Essex Management,Federal Contracting,24113417
2020-01-01,Manhattan Construction,Federal Contracting,23950675
2020-01-01,Remedybiz,Federal Contracting,23663602
2020-01-01,Parsons Government,Federal Contracting,23603151
2020-01-01,Skookum Educational Programs,Federal Contracting,23591000
2020-01-01,Noblis,Federal Contracting,23506894
2020-01-01,Precise Software,Federal Contracting,23386835
2020-01-01,Ctis,Federal Contracting,23199376
2020-01-01,Ea-baker Jv,Federal Contracting,23170608
2020-01-01,Fgs,Federal Contracting,23151470
2020-01-01,Dela,Federal Contracting,23084990
2020-01-01,Yorktown,Federal Contracting,22942551
2020-01-01,Eagle Research,Federal Contracting,22915721
2020-01-01,Vectrus,Federal Contracting,22771708
2020-01-01,Northrop Grumman,Federal Contracting,22723454
2020-01-01,Alliance,Federal Contracting,22529823
2020-01-01,W.w. Grainger,Federal Contracting,22476499
2020-01-01,Raytheon,Federal Contracting,22206341
2020-01-01,Imsolutions,Federal Contracting,22132367
2020-01-01,Cherokee Nation Strategic Programs,Federal Contracting,22062470
2020-01-01,Humantouch,Federal Contracting,21988518
2020-01-01,Cellco Partnership,Federal Contracting,21940246
2020-01-01,Tantus,Federal Contracting,21756334
2020-01-01,Ea Engineering Science Inc. Pbc,Federal Contracting,21643430
2020-01-01,Belcan Government,Federal Contracting,21527236
