date,name,category,value
2020-01-01,Huntington Ingalls,Federal Contracting,3336623847
2020-01-01,ADS,Federal Contracting,3109158170
2020-01-01,Booz Allen,Federal Contracting,2133932129
2020-01-01,Peraton,Federal Contracting,1270107838
2020-01-01,MITRE,Federal Contracting,1151684271
2020-01-01,Accenture Federal,Federal Contracting,1132886311
2020-01-01,GDIT,Federal Contracting,974343962
2020-01-01,Northrop Grumman,Federal Contracting,962909002
2020-01-01,CACI,Federal Contracting,926182644
2020-01-01,Deloitte,Federal Contracting,877568543
2020-01-01,Optum,Federal Contracting,828574133
2020-01-01,Leidos,Federal Contracting,800690872
2020-01-01,Maximus,Federal Contracting,789429679
2020-01-01,Rer,Federal Contracting,762997898
2020-01-01,Science Applications,Federal Contracting,755447959
2020-01-01,Lockheed Martin,Federal Contracting,696154608
2020-01-01,Leidos,Federal Contracting,680378315
2020-01-01,Carahsoft,Federal Contracting,624963196
2020-01-01,Mci Communications,Federal Contracting,592486074
2020-01-01,Cgi,Federal Contracting,539827765
2020-01-01,ManTech,Federal Contracting,482401236
2020-01-01,Metro Machine,Federal Contracting,451794683
2020-01-01,GDIT,Federal Contracting,415877912
2020-01-01,Hii Mission,Federal Contracting,385463777
2020-01-01,Phlow,Federal Contracting,360284722
2020-01-01,At&t,Federal Contracting,356823937
2020-01-01,GDIT,Federal Contracting,350901523
2020-01-01,Northrop Grumman,Federal Contracting,337659866
2020-01-01,Sallyport Global,Federal Contracting,324951991
2020-01-01,Iron Bow,Federal Contracting,320160055
2020-01-01,Csra,Federal Contracting,311570045
2020-01-01,Thundercat,Federal Contracting,286906394
2020-01-01,Lumen Government,Federal Contracting,284944906
2020-01-01,Emergent,Federal Contracting,281666439
2020-01-01,Bae Norfolk Ship Repair,Federal Contracting,269501797
2020-01-01,Orbital Sciences,Federal Contracting,257678034
2020-01-01,Peraton,Federal Contracting,253338095
2020-01-01,Four Points,Federal Contracting,252286447
2020-01-01,Owens & Minor Distribution,Federal Contracting,251716464
2020-01-01,Raytheon,Federal Contracting,250929711
2020-01-01,Kpmg Llp,Federal Contracting,241220958
2020-01-01,Bae Ordnance Systems,Federal Contracting,234778251
2020-01-01,CACI,Federal Contracting,233666995
2020-01-01,ManTech,Federal Contracting,215664197
2020-01-01,Logistics Management Institute,Federal Contracting,212536078
2020-01-01,Reed Information,Federal Contracting,208766834
2020-01-01,Dcs,Federal Contracting,205051154
2020-01-01,Management,Federal Contracting,196262066
2020-01-01,Institute For Defense Analyses,Federal Contracting,192260232
2020-01-01,Marine Hydraulics,Federal Contracting,189712609
2020-01-01,Tactical & Survival Specialties,Federal Contracting,186932871
2020-01-01,General Dynamics One Source,Federal Contracting,186303200
2020-01-01,Icf,Federal Contracting,184717378
2020-01-01,Minburn,Federal Contracting,183000086
2020-01-01,Four,Federal Contracting,180922498
2020-01-01,Ecs,Federal Contracting,180816397
2020-01-01,Insight,Federal Contracting,176821828
2020-01-01,Affigent,Federal Contracting,175287655
2020-01-01,Guidehouse Llp,Federal Contracting,171050890
2020-01-01,Highlight,Federal Contracting,170447398
2020-01-01,Unisys,Federal Contracting,166383320
2020-01-01,W. F. Magann,Federal Contracting,164298873
2020-01-01,Dlt,Federal Contracting,163761417
2020-01-01,American,Federal Contracting,162256141
2020-01-01,CACI,Federal Contracting,161393748
2020-01-01,Jefferson Science Associates,Federal Contracting,160764978
2020-01-01,Ncs,Federal Contracting,160313909
2020-01-01,Ser,Federal Contracting,159055848
2020-01-01,Liberty It,Federal Contracting,158979403
2020-01-01,Hii Mission,Federal Contracting,156325387
2020-01-01,Range Generation Next,Federal Contracting,150569867
2020-01-01,Colossal Contracting,Federal Contracting,147817253
2020-01-01,Leidos,Federal Contracting,145111430
2020-01-01,Verizon Business Network,Federal Contracting,144010188
2020-01-01,Dgci,Federal Contracting,142355233
2020-01-01,Leidos,Federal Contracting,141636244
2020-01-01,U.s. Marine Management,Federal Contracting,141321834
2020-01-01,CACI,Federal Contracting,140131711
2020-01-01,Microsoft,Federal Contracting,139928821
2020-01-01,General Dynamics Mission,Federal Contracting,139216659
2020-01-01,Leidos,Federal Contracting,138351323
2020-01-01,Inmarsat Government,Federal Contracting,135192494
2020-01-01,Credence Management Limited Liability,Federal Contracting,134176842
2020-01-01,Raytheon,Federal Contracting,133161505
2020-01-01,Northrop Grumman,Federal Contracting,131293718
2020-01-01,CACI,Federal Contracting,129941614
2020-01-01,Stg,Federal Contracting,128638543
2020-01-01,Goldbelt,Federal Contracting,128193876
2020-01-01,Salient Crgt,Federal Contracting,127296156
2020-01-01,United Capital Investments,Federal Contracting,126779707
2020-01-01,Sava Workforce,Federal Contracting,124643814
2020-01-01,Hpi,Federal Contracting,119829525
2020-01-01,Inter-con,Federal Contracting,118927985
2020-01-01,Northrop Grumman,Federal Contracting,115772386
2020-01-01,Grunley Construction,Federal Contracting,113689396
2020-01-01,Alvarez,Federal Contracting,113674588
2020-01-01,Xator,Federal Contracting,112816566
2020-01-01,Ntt Data,Federal Contracting,110573146
2020-01-01,Miracle,Federal Contracting,110263216
2020-01-01,Lockheed Martin,Federal Contracting,110179470
2020-01-01,CACI,Federal Contracting,109723032
2020-01-01,Parsons Government,Federal Contracting,109504846
2020-01-01,Science Applications,Federal Contracting,109359652
2020-01-01,Government Scientific Source,Federal Contracting,109331251
2020-01-01,Axient,Federal Contracting,108636924
2020-01-01,Qinetiq,Federal Contracting,108552623
2020-01-01,The Cna,Federal Contracting,107177181
2020-01-01,Vse,Federal Contracting,106885701
